,City,Country,Latitude,Longitude,Max Temp.,Humidity,Wind Speed,Cloudiness,Date,Hemisphere
0,Hilo,US,19.73,-155.09,78.8,65,4.7,90,1586395577,Northern Hemisphere
1,Dukat,RU,62.55,155.55,19.38,88,5.59,86,1586395728,Northern Hemisphere
2,Saint-Pierre,RE,-21.34,55.48,77.0,73,8.05,0,1586395729,Southern Hemisphere
3,Albany,US,42.6,-73.97,53.6,54,14.99,75,1586395731,Northern Hemisphere
4,Rikitea,PF,-23.12,-134.97,76.6,80,9.86,90,1586395732,Southern Hemisphere
5,Bluff,NZ,-46.6,168.33,53.01,90,14.0,100,1586395733,Southern Hemisphere
6,Hong Kong,HK,22.29,114.16,73.99,46,8.05,66,1586395734,Northern Hemisphere
7,Norman Wells,CA,65.28,-126.83,30.2,50,16.11,90,1586395735,Northern Hemisphere
8,Acapulco de Juárez,MX,16.86,-99.89,80.6,83,6.93,20,1586395736,Northern Hemisphere
9,Camacha,PT,33.08,-16.33,68.0,93,11.41,75,1586395737,Northern Hemisphere
10,Airai,TL,-8.93,125.41,67.35,61,0.45,97,1586395738,Southern Hemisphere
11,Fairbanks,US,64.84,-147.72,32.0,46,6.93,1,1586395526,Northern Hemisphere
12,Puerto Ayora,EC,-0.74,-90.35,82.4,78,11.41,20,1586395740,Southern Hemisphere
13,Jalingo,NG,8.88,11.37,86.56,52,5.5,92,1586395742,Northern Hemisphere
14,Lagoa,PT,39.05,-27.98,61.0,82,12.97,0,1586395743,Northern Hemisphere
15,Mahon,ES,39.89,4.27,50.0,81,2.68,0,1586395745,Northern Hemisphere
16,Vostok,RU,46.49,135.88,31.91,61,2.93,97,1586395746,Northern Hemisphere
17,Guskhara,IN,23.5,87.75,77.45,31,4.5,0,1586395748,Northern Hemisphere
18,Kletskaya,RU,49.31,43.06,44.01,38,14.7,86,1586395749,Northern Hemisphere
19,Cayenne,GF,4.93,-52.33,82.4,74,8.05,90,1586395750,Northern Hemisphere
20,Bilibino,RU,68.05,166.44,12.02,88,5.08,98,1586395751,Northern Hemisphere
21,Aden,YE,12.78,45.04,80.44,66,16.04,0,1586395497,Northern Hemisphere
22,Tuktoyaktuk,CA,69.45,-133.04,10.4,78,11.41,20,1586395753,Northern Hemisphere
23,Busselton,AU,-33.65,115.33,73.99,65,4.0,27,1586395754,Southern Hemisphere
24,Labytnangi,RU,66.66,66.42,9.91,90,16.13,100,1586395756,Northern Hemisphere
25,George Town,MY,5.41,100.34,84.2,88,3.36,20,1586395757,Northern Hemisphere
26,Bengkulu,ID,-3.8,102.27,78.3,78,5.03,89,1586395645,Southern Hemisphere
27,Jamestown,US,42.1,-79.24,51.01,75,3.36,1,1586395589,Northern Hemisphere
28,Punta Arenas,CL,-53.15,-70.92,55.4,62,9.17,20,1586395702,Southern Hemisphere
